Date,AAPL,SPY
2025-05-15,211.21029663085938,587.0919189453125
2025-05-16,211.0205078125,590.810546875
2025-05-19,208.54331970214844,591.4568481445312
2025-05-20,206.62550354003906,589.46826171875
2025-05-21,201.86090087890625,579.5352783203125
2025-05-22,201.13172912597656,579.7639770507812
2025-05-23,195.04864501953125,575.806640625
2025-05-27,199.98304748535156,587.7780151367188
2025-05-28,200.1927947998047,584.3775024414062
2025-05-29,199.72332763671875,586.6842651367188
2025-05-30,200.622314453125,586.028076171875
2025-06-02,201.47134399414062,589.3291015625
2025-06-03,203.03956604003906,592.6898193359375
2025-06-04,202.590087890625,592.5307006835938
2025-06-05,200.40257263183594,589.6671142578125
2025-06-06,203.68882751464844,595.722412109375
2025-06-09,201.2216339111328,596.2593383789062
2025-06-10,202.44024658203125,599.639892578125
2025-06-11,198.55465698242188,597.9297485351562
2025-06-12,198.97418212890625,600.3060913085938
2025-06-13,196.227294921875,593.5946044921875
2025-06-16,198.195068359375,599.2421875
2025-06-17,195.418212890625,594.1216430664062
2025-06-18,196.35714721679688,594.0321044921875
2025-06-20,200.7721405029297,592.636962890625
2025-06-23,201.27157592773438,598.49072265625
2025-06-24,200.07293701171875,605.1024169921875
2025-06-25,201.33151245117188,605.4414672851562
2025-06-26,200.7721405029297,610.1783447265625
2025-06-27,200.85205078125,613.2098999023438
2025-06-30,204.93740844726562,616.1417846679688
2025-07-01,207.58441162109375,615.9423828125
2025-07-02,212.1991729736328,618.734619140625
2025-07-03,213.30792236328125,623.611083984375
2025-07-07,209.7119903564453,618.9639892578125
2025-07-08,209.7719268798828,618.6249389648438
2025-07-09,210.90065002441406,622.3345947265625
2025-07-10,212.16920471191406,624.0897827148438
2025-07-11,210.92062377929688,621.8958129882812
2025-07-14,208.3834991455078,623.08251953125
2025-07-15,208.87295532226562,620.419921875
2025-07-16,209.92176818847656,622.494140625
2025-07-17,209.78192138671875,626.3035888671875
2025-07-18,210.9405975341797,625.8449096679688
2025-07-21,212.23912048339844,627.0316162109375
2025-07-22,214.15695190429688,627.121337890625
2025-07-23,213.9072265625,632.4566040039062
2025-07-24,213.51766967773438,632.6659545898438
2025-07-25,213.63754272460938,635.3385620117188
2025-07-28,213.80735778808594,635.1790161132812
2025-07-29,211.03050231933594,633.503662109375
2025-07-30,208.81301879882812,632.7058715820312
2025-07-31,207.33470153808594,630.3324584960938
2025-08-01,202.1505889892578,620.0010375976562
2025-08-04,203.11949157714844,629.4249267578125
2025-08-05,202.68995666503906,626.2337646484375
2025-08-06,213.0082550048828,631.030517578125
2025-08-07,219.7805633544922,630.501953125
2025-08-08,229.0900115966797,635.4183349609375
2025-08-11,227.17999267578125,634.1618041992188
2025-08-12,229.64999389648438,640.9131469726562
2025-08-13,233.3300018310547,643.1070556640625
2025-08-14,232.77999877929688,643.1668701171875
2025-08-15,231.58999633789062,641.6610717773438
2025-08-18,230.88999938964844,641.5214233398438
2025-08-19,230.55999755859375,638.0410766601562
2025-08-20,226.00999450683594,636.3457641601562
2025-08-21,224.89999389648438,633.7928466796875
2025-08-22,227.75999450683594,643.52587890625
2025-08-25,227.16000366210938,640.6936645507812
2025-08-26,229.30999755859375,643.3762817382812
2025-08-27,230.49000549316406,644.8422241210938
2025-08-28,232.55999755859375,647.1258544921875
2025-08-29,232.13999938964844,643.2666015625
2025-09-02,229.72000122070312,638.4998168945312
2025-09-03,238.47000122070312,641.960205078125
2025-09-04,239.77999877929688,647.3253173828125
2025-09-05,239.69000244140625,645.4505004882812
2025-09-08,237.8800048828125,647.0361328125
2025-09-09,234.35000610351562,648.531982421875
2025-09-10,226.7899932861328,650.4067993164062
2025-09-11,230.02999877929688,655.8118286132812
2025-09-12,234.07000732421875,655.5924072265625
2025-09-15,236.6999969482422,659.0827026367188
2025-09-16,238.14999389648438,658.1752319335938
2025-09-17,238.99000549316406,657.3575439453125
2025-09-18,237.8800048828125,660.4290161132812
2025-09-19,245.5,663.7000122070312
2025-09-22,256.0799865722656,666.8400268554688
2025-09-23,254.42999267578125,663.2100219726562
2025-09-24,252.30999755859375,661.0999755859375
2025-09-25,256.8699951171875,658.0499877929688
2025-09-26,255.4600067138672,661.8200073242188
2025-09-29,254.42999267578125,663.6799926757812
2025-09-30,254.6300048828125,666.1799926757812
2025-10-01,255.4499969482422,668.4500122070312
2025-10-02,257.1300048828125,669.219970703125
2025-10-03,258.0199890136719,669.2100219726562
2025-10-06,256.69000244140625,671.6099853515625
2025-10-07,256.4800109863281,669.1199951171875
2025-10-08,258.05999755859375,673.1099853515625
2025-10-09,254.0399932861328,671.1599731445312
2025-10-10,245.27000427246094,653.02001953125
2025-10-13,247.66000366210938,663.0399780273438
2025-10-14,247.77000427246094,662.22998046875
2025-10-15,249.33999633789062,665.1699829101562
2025-10-16,247.4499969482422,660.6400146484375
2025-10-17,252.2899932861328,664.3900146484375
2025-10-20,262.239990234375,671.2999877929688
2025-10-21,262.7699890136719,671.2899780273438
2025-10-22,258.45001220703125,667.7999877929688
2025-10-23,259.5799865722656,671.760009765625
2025-10-24,262.82000732421875,677.25
2025-10-27,268.80999755859375,685.239990234375
