Date,AAPL,AMZN,GOOGL,IWM,META,MSFT,NVDA,QQQ,SPY,TSLA
2025-04-15,201.6464080810547,179.58999633789062,155.9814910888672,185.71823120117188,520.767578125,384.3912658691406,112.18588256835938,456.94647216796875,534.5433349609375,254.11000061035156
2025-04-16,193.79563903808594,174.3300018310547,153.00775146484375,183.93821716308594,501.58526611328125,370.32025146484375,104.47685241699219,443.1679382324219,522.6615600585938,241.5500030517578
2025-04-17,196.4990234375,172.61000061035156,150.84231567382812,185.43978881835938,500.7564697265625,366.5035400390625,101.47722625732422,443.088134765625,523.4072265625,241.3699951171875
2025-04-21,192.6883544921875,167.32000732421875,147.35964965820312,181.7206573486328,483.9607238769531,357.87359619140625,96.89781188964844,432.1231689453125,510.94873046875,227.5
2025-04-22,199.25228881835938,173.17999267578125,151.1516571044922,186.4242706298828,499.5581970214844,365.5469055175781,98.87755584716797,443.46728515625,524.2424926757812,237.97000122070312
2025-04-23,204.1004180908203,180.60000610351562,155.0235137939453,189.1887664794922,519.5193481445312,373.0906066894531,102.69707489013672,453.5242919921875,532.3658447265625,250.74000549316406
2025-04-24,207.8612060546875,186.5399932861328,158.9452362060547,192.97750854492188,532.3807983398438,385.9557800292969,106.4166030883789,466.28515625,543.5715942382812,259.510009765625
2025-04-25,208.76898193359375,188.99000549316406,161.61962890625,193.0371856689453,546.4804077148438,390.4900207519531,110.99604034423828,471.4833068847656,547.4990234375,284.95001220703125
2025-04-28,209.62689208984375,187.6999969482422,160.2724609375,193.8526153564453,548.9468383789062,389.8023986816406,108.71631622314453,471.3336181640625,547.7078247070312,285.8800048828125
2025-04-29,210.6942901611328,187.38999938964844,159.8234100341797,194.99618530273438,553.6400756835938,392.67242431640625,109.00627899169922,474.446533203125,551.1580200195312,292.0299987792969
2025-04-30,211.9811248779297,184.4199981689453,158.4662628173828,193.77304077148438,548.2078857421875,393.88818359375,108.90629577636719,474.38665771484375,551.3768310546875,282.1600036621094
2025-05-01,212.79913330078125,190.1999969482422,160.96099853515625,194.97630310058594,571.3843994140625,423.9235534667969,111.59595489501953,480.58251953125,555.2843627929688,280.5199890136719
2025-05-02,204.8485870361328,189.97999572753906,163.68527221679688,199.36170959472656,596.15869140625,433.769287109375,114.485595703125,487.7162170410156,563.527099609375,287.2099914550781
2025-05-05,198.40435791015625,186.35000610351562,163.86489868164062,197.83029174804688,598.4053955078125,434.65618896484375,113.80567932128906,484.82281494140625,560.295654296875,280.260009765625
2025-05-06,198.02528381347656,185.00999450683594,162.88693237304688,195.67239379882812,586.462646484375,431.8061218261719,113.52571868896484,480.3131103515625,555.6124877929688,275.3500061035156
2025-05-07,195.7707977294922,188.7100067138672,151.06185913085938,196.3187713623047,595.9489135742188,431.8459777832031,117.04527282714844,482.1988220214844,557.9490966796875,276.2200012207031
2025-05-08,197.00778198242188,192.0800018310547,153.9557647705078,200.0577850341797,597.147216796875,436.6492614746094,117.35523986816406,487.1774597167969,561.8367919921875,284.82000732421875
